pulled_at_utc,station_id,station_name,river,level_cm,level_measured_at,flow_cms,flow_measured_at,temp_c,temp_measured_at
2026-06-16 02:01:38,149200160,Krościenko,Dunajec,193,2026-06-16 01:20:00,31.9,2026-06-16 01:30:00,10.7,2026-06-15 06:00:00
2026-06-16 02:01:38,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-16 02:01:38,149200190,Gołkowice,Dunajec,162,2026-06-16 01:30:00,33,2026-06-16 01:30:00,,
2026-06-16 02:01:38,149220060,Lesko,San,171,2026-06-16 01:30:00,14.2,2026-06-16 01:30:00,,
2026-06-16 04:01:25,149200160,Krościenko,Dunajec,193,2026-06-16 03:20:00,31.9,2026-06-16 03:30:00,10.7,2026-06-15 06:00:00
2026-06-16 04:01:25,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-16 04:01:25,149200190,Gołkowice,Dunajec,163,2026-06-16 03:30:00,34,2026-06-16 03:30:00,,
2026-06-16 04:01:25,149220060,Lesko,San,171,2026-06-16 03:30:00,14.2,2026-06-16 03:30:00,,
2026-06-16 06:02:00,149200160,Krościenko,Dunajec,192,2026-06-16 05:20:00,30.8,2026-06-16 05:30:00,10.7,2026-06-15 06:00:00
2026-06-16 06:02:00,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-16 06:02:00,149200190,Gołkowice,Dunajec,165,2026-06-16 05:30:00,36,2026-06-16 05:30:00,,
2026-06-16 06:02:00,149220060,Lesko,San,171,2026-06-16 05:30:00,14.2,2026-06-16 05:30:00,,
2026-06-16 08:02:27,149200160,Krościenko,Dunajec,193,2026-06-16 07:20:00,31.9,2026-06-16 07:30:00,10.7,2026-06-15 06:00:00
2026-06-16 08:02:27,149200140,Sromowce Wyżne,Dunajec,218,2025-07-26 07:20:00,23,2024-07-03 11:20:00,10.5,2026-06-15 06:00:00
2026-06-16 08:02:27,149200190,Gołkowice,Dunajec,162,2026-06-16 07:30:00,33,2026-06-16 07:30:00,,
2026-06-16 08:02:27,149220060,Lesko,San,171,2026-06-16 07:30:00,14.2,2026-06-16 07:30:00,,
